Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Netherlands,2.6846153846153844,2.893846153846153,3.238375,3.684,3.620625,2.8192500000000003,2.4129375,2.851547619047619,2.3256666666666668,1.851,1.7790238095238091,2.0960476190476194,1.6032000000000002,1.46428125,1.56275,1.1720526315789477,1.47325,1.1774761904761906,1.259452380952381,0.9595,1.0104761904761903,1.160625,1.00834375,0.5672888888888888,0.5172051282051282,0.5169999999999999,0.6164166666666667,0.5626296296296297,0.5534074074074075,0.5691666666666667,0.5431111111111111,0.0
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.170999999999999,2.82375,1.825,2.439375,1.66775,1.4009,1.8053333333333328,1.736,0.8210000000000001,1.38675,0.8856666666666667,0.298,0.6233333333333333,0.9443333333333334,0.8183333333333332,0.4606666666666666,0.0,0.348,0.65
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1805,4.61525,3.981,2.86821875,2.2618260869565217,2.6951538461538465,2.4251,2.01845,1.839434210526316,2.7135,1.7703535353535351,1.729862385321101,1.9811652892561984,2.0463671875,1.9878796296296293,1.893613636363636,0.8207899543378995,1.0674863636363636,1.0684017094017093,1.0036582278481012,1.2076536796536796,0.9604594594594597,0.8510730593607305,0.822764705882353,0.8194051282051281
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.315909090909091,4.169423076923077,3.93078125,3.739892857142857,2.0135,1.7854423076923078,1.6394516129032255,1.5197464788732395,1.5394567901234568,1.4474756097560977,1.262722891566265,1.239253333333333,1.0403658536585365,0.9768421052631578,0.9518955223880596,0.9807142857142858,0.5776923076923077,0.5307777777777778,562.2493125,88.7206511627907,0.5068648648648648,0.6139,0.6726470588235295,0.6987948717948718,0.5566666666666666
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.95057142857142,4.694636363636364,3.1462105263157896,2.6813333333333333,1.8376969696969696,1.802423076923077,1.7433057324840766,1.7551260504201682,1.6716762589928058,1.081987012987013,1.0166981132075472,1.0009930069930069,0.9827906976744186,1.0574852459016395,0.9896100278551532,0.9796376811594204,0.8870158730158731,0.0
Slovakia,0.0,0.0,0.0,0.0,0.0,3.54575,3.049,2.856,2.984833333333333,2.4053,2.41275,1.945625,2.0687,1.989,2.0318,1.7048636363636362,1.6582272727272729,1.45625,1.6078181818181818,1.761625,1.934875,1.7874444444444444,2.000153846153846,0.937,1144.552703703704,270.1668,0.6929487179487179,0.8778333333333334,0.6778974358974359,0.6982820512820513,9.2935,636.8124358974359
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239428571428572,2.4132857142857143,2.078875,2.046875,1.6532,1.4042,1.3166,1.4293,1.4632,1.166,1.3185,0.8926666666666668,0.6324166666666667,0.7215833333333332,0.8863333333333333,0.8451666666666666,0.6708333333333334,0.649,0.8614999999999999,0.0
Spain,14.1965,6.504285714285714,6.330625,6.047785714285714,0.0,1.8893,4.2761538461538455,3.591183823529412,3.830857142857143,21.96654658385093,20.18479545454545,2.231337398373984,1.829435555555556,1.7019771863117872,1.5374809160305345,1.469228494623656,1.2263323699421964,1.1450546875,1.0400348258706469,0.8876188235294118,0.8290354767184035,0.7702100656455142,0.7413977011494253,0.5043178170144462,0.4579649122807017,0.5131963087248322,0.52796,0.5717746212121212,0.4999474708171206,0.5077047619047619,0.4382110266159695,0.557852207293666
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.223666666666667,2.1525,3.258857142857143,3.71975,2.051333333333333,3.309125,3.1194,1.4901666666666669,1.42525,1.12775,1.925,0.8458333333333333,2.14,2.651666666666667,1.259125,0.3423333333333334,0.95725,0.9309444444444446,1.1853749999999998,1.2308333333333332,1.066625,1.0322916666666666,1.639133333333333,1.6763333333333332
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103,1.893375,1.80879797979798,1.7169354838709678,1.577135416666667,1.4056377952755903,0.0
