Country,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level
France,SO2,Sulphur dioxide (air),2014,2.592,ug/m3
France,SO2,Sulphur dioxide (air),2013,3.199,ug/m3
France,SO2,Sulphur dioxide (air),2020,0.424,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.703,ug/m3
France,SO2,Sulphur dioxide (air),2019,2.365,ug/m3
France,SO2,Sulphur dioxide (air),2017,2.42,ug/m3
France,SO2,Sulphur dioxide (air),2018,2.436,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.752,ug/m3
France,SO2,Sulphur dioxide (air),2015,3.004,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.843,ug/m3
France,SO2,Sulphur dioxide (air),2014,3.854,ug/m3
France,SO2,Sulphur dioxide (air),2017,8.796,ug/m3
France,SO2,Sulphur dioxide (air),2016,9.258,ug/m3
France,SO2,Sulphur dioxide (air),2018,11.65,ug/m3
France,SO2,Sulphur dioxide (air),2013,15.633,ug/m3
France,SO2,Sulphur dioxide (air),2015,10.25,ug/m3
France,SO2,Sulphur dioxide (air),2014,10.5,ug/m3
France,SO2,Sulphur dioxide (air),2016,19.4,ug/m3
France,SO2,Sulphur dioxide (air),2017,19.5,ug/m3
France,SO2,Sulphur dioxide (air),2018,22.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,30.5,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2015,5.287,ug/m3
France,SO2,Sulphur dioxide (air),2017,11.222,ug/m3
France,SO2,Sulphur dioxide (air),2016,14.234,ug/m3
France,SO2,Sulphur dioxide (air),2014,14.817,ug/m3
France,SO2,Sulphur dioxide (air),2018,18.308,ug/m3
France,SO2,Sulphur dioxide (air),2013,25.87,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.465,ug/m3
France,SO2,Sulphur dioxide (air),2016,0.803,ug/m3
France,SO2,Sulphur dioxide (air),2017,0.855,ug/m3
France,SO2,Sulphur dioxide (air),2018,0.88,ug/m3
France,SO2,Sulphur dioxide (air),2014,1.212,ug/m3
France,SO2,Sulphur dioxide (air),2013,2.351,ug/m3
France,SO2,Sulphur dioxide (air),2019,0.117,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.022,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.204,ug/m3
France,SO2,Sulphur dioxide (air),2018,1.372,ug/m3
France,SO2,Sulphur dioxide (air),2017,1.564,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.325,ug/m3
France,SO2,Sulphur dioxide (air),2020,15.908,ug/m3
France,SO2,Sulphur dioxide (air),2019,22.433,ug/m3
France,SO2,Sulphur dioxide (air),2016,30.28,ug/m3
France,SO2,Sulphur dioxide (air),2018,33.767,ug/m3
France,SO2,Sulphur dioxide (air),2015,33.83,ug/m3
France,SO2,Sulphur dioxide (air),2017,46.538,ug/m3
France,SO2,Sulphur dioxide (air),2014,54.171,ug/m3
France,SO2,Sulphur dioxide (air),2020,59.2,ug/m3
France,SO2,Sulphur dioxide (air),2019,66.7,ug/m3
France,SO2,Sulphur dioxide (air),2016,88.65,ug/m3
France,SO2,Sulphur dioxide (air),2015,94.0,ug/m3
France,SO2,Sulphur dioxide (air),2018,115.4,ug/m3
France,SO2,Sulphur dioxide (air),2017,126.2,ug/m3
France,SO2,Sulphur dioxide (air),2014,139.5,ug/m3
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2020,0.0,count
France,SO2,Sulphur dioxide (air),2014,2.0,count
France,SO2,Sulphur dioxide (air),2020,25.325,ug/m3
France,SO2,Sulphur dioxide (air),2019,27.471,ug/m3
France,SO2,Sulphur dioxide (air),2016,40.52,ug/m3
France,SO2,Sulphur dioxide (air),2015,46.504,ug/m3
France,SO2,Sulphur dioxide (air),2018,54.867,ug/m3
France,SO2,Sulphur dioxide (air),2017,63.521,ug/m3
France,SO2,Sulphur dioxide (air),2014,252.771,ug/m3
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2020,0.0,count
France,SO2,Sulphur dioxide (air),2017,2.0,count
France,SO2,Sulphur dioxide (air),2014,4.0,count
France,SO2,Sulphur dioxide (air),2020,3.777,ug/m3
France,SO2,Sulphur dioxide (air),2016,5.014,ug/m3
France,SO2,Sulphur dioxide (air),2015,5.303,ug/m3
France,SO2,Sulphur dioxide (air),2019,5.421,ug/m3
France,SO2,Sulphur dioxide (air),2017,7.785,ug/m3
France,SO2,Sulphur dioxide (air),2018,9.338,ug/m3
France,SO2,Sulphur dioxide (air),2014,9.439,ug/m3
France,SO2,Sulphur dioxide (air),2020,2.87,ug/m3
France,SO2,Sulphur dioxide (air),2016,3.915,ug/m3
France,SO2,Sulphur dioxide (air),2018,6.182,ug/m3
France,SO2,Sulphur dioxide (air),2019,7.259,ug/m3
France,SO2,Sulphur dioxide (air),2017,8.279,ug/m3
France,SO2,Sulphur dioxide (air),2014,8.431,ug/m3
France,SO2,Sulphur dioxide (air),2015,9.582,ug/m3
France,SO2,Sulphur dioxide (air),2013,11.674,ug/m3
France,SO2,Sulphur dioxide (air),2013,26.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,27.175,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,2.41,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.663,ug/m3
France,SO2,Sulphur dioxide (air),2014,8.774,ug/m3
France,SO2,Sulphur dioxide (air),2013,15.525,ug/m3
France,SO2,Sulphur dioxide (air),2014,26.3,ug/m3
France,SO2,Sulphur dioxide (air),2013,37.8,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2013,21.433,ug/m3
France,SO2,Sulphur dioxide (air),2014,34.917,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2014,1.988,ug/m3
France,SO2,Sulphur dioxide (air),2013,4.768,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.975,ug/m3
France,SO2,Sulphur dioxide (air),2014,4.611,ug/m3
France,SO2,Sulphur dioxide (air),2020,4.025,ug/m3
France,SO2,Sulphur dioxide (air),2018,4.392,ug/m3
France,SO2,Sulphur dioxide (air),2019,5.196,ug/m3
France,SO2,Sulphur dioxide (air),2016,6.134,ug/m3
France,SO2,Sulphur dioxide (air),2017,6.488,ug/m3
France,SO2,Sulphur dioxide (air),2015,7.094,ug/m3
France,SO2,Sulphur dioxide (air),2014,9.252,ug/m3
France,SO2,Sulphur dioxide (air),2013,20.838,ug/m3
France,SO2,Sulphur dioxide (air),2020,5.3,ug/m3
France,SO2,Sulphur dioxide (air),2019,7.5,ug/m3
France,SO2,Sulphur dioxide (air),2018,11.8,ug/m3
France,SO2,Sulphur dioxide (air),2016,14.08,ug/m3
France,SO2,Sulphur dioxide (air),2017,18.7,ug/m3
France,SO2,Sulphur dioxide (air),2015,20.75,ug/m3
France,SO2,Sulphur dioxide (air),2014,32.3,ug/m3
France,SO2,Sulphur dioxide (air),2013,57.5,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2020,0.0,count
France,SO2,Sulphur dioxide (air),2020,4.504,ug/m3
France,SO2,Sulphur dioxide (air),2018,4.842,ug/m3
France,SO2,Sulphur dioxide (air),2019,5.288,ug/m3
France,SO2,Sulphur dioxide (air),2017,13.183,ug/m3
France,SO2,Sulphur dioxide (air),2016,13.894,ug/m3
France,SO2,Sulphur dioxide (air),2015,15.198,ug/m3
France,SO2,Sulphur dioxide (air),2014,16.561,ug/m3
France,SO2,Sulphur dioxide (air),2013,56.108,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2020,0.0,count
France,SO2,Sulphur dioxide (air),2020,1.37,ug/m3
France,SO2,Sulphur dioxide (air),2017,1.699,ug/m3
France,SO2,Sulphur dioxide (air),2014,1.782,ug/m3
France,SO2,Sulphur dioxide (air),2019,1.88,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.985,ug/m3
France,SO2,Sulphur dioxide (air),2018,2.351,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.438,ug/m3
France,SO2,Sulphur dioxide (air),2013,4.349,ug/m3
France,SO2,Sulphur dioxide (air),2017,1.897,ug/m3
France,SO2,Sulphur dioxide (air),2019,1.913,ug/m3
France,SO2,Sulphur dioxide (air),2018,2.062,ug/m3
France,SO2,Sulphur dioxide (air),2020,2.482,ug/m3
France,SO2,Sulphur dioxide (air),2016,2.584,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.613,ug/m3
France,SO2,Sulphur dioxide (air),2014,3.709,ug/m3
France,SO2,Sulphur dioxide (air),2019,4.5,ug/m3
France,SO2,Sulphur dioxide (air),2016,6.74,ug/m3
France,SO2,Sulphur dioxide (air),2017,7.1,ug/m3
France,SO2,Sulphur dioxide (air),2018,8.25,ug/m3
France,SO2,Sulphur dioxide (air),2015,10.25,ug/m3
France,SO2,Sulphur dioxide (air),2014,11.309,ug/m3
France,SO2,Sulphur dioxide (air),2013,12.881,ug/m3
France,SO2,Sulphur dioxide (air),2019,9.4,ug/m3
France,SO2,Sulphur dioxide (air),2018,12.4,ug/m3
France,SO2,Sulphur dioxide (air),2017,13.5,ug/m3
France,SO2,Sulphur dioxide (air),2016,15.75,ug/m3
France,SO2,Sulphur dioxide (air),2015,21.0,ug/m3
France,SO2,Sulphur dioxide (air),2014,30.3,ug/m3
France,SO2,Sulphur dioxide (air),2013,42.3,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2019,5.35,ug/m3
France,SO2,Sulphur dioxide (air),2018,9.529,ug/m3
France,SO2,Sulphur dioxide (air),2016,11.094,ug/m3
France,SO2,Sulphur dioxide (air),2015,11.141,ug/m3
France,SO2,Sulphur dioxide (air),2017,11.829,ug/m3
France,SO2,Sulphur dioxide (air),2014,22.879,ug/m3
France,SO2,Sulphur dioxide (air),2013,37.891,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2019,2.04,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.089,ug/m3
France,SO2,Sulphur dioxide (air),2017,2.359,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.598,ug/m3
France,SO2,Sulphur dioxide (air),2013,2.637,ug/m3
France,SO2,Sulphur dioxide (air),2016,2.947,ug/m3
France,SO2,Sulphur dioxide (air),2018,3.121,ug/m3
France,SO2,Sulphur dioxide (air),2020,1.732,ug/m3
France,SO2,Sulphur dioxide (air),2019,2.32,ug/m3
France,SO2,Sulphur dioxide (air),2016,2.56,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.618,ug/m3
France,SO2,Sulphur dioxide (air),2018,2.628,ug/m3
France,SO2,Sulphur dioxide (air),2017,3.213,ug/m3
France,SO2,Sulphur dioxide (air),2014,3.503,ug/m3
France,SO2,Sulphur dioxide (air),2018,3.679,ug/m3
France,SO2,Sulphur dioxide (air),2019,3.725,ug/m3
France,SO2,Sulphur dioxide (air),2016,4.223,ug/m3
France,SO2,Sulphur dioxide (air),2015,5.868,ug/m3
France,SO2,Sulphur dioxide (air),2017,6.433,ug/m3
France,SO2,Sulphur dioxide (air),2014,8.583,ug/m3
France,SO2,Sulphur dioxide (air),2013,18.796,ug/m3
France,SO2,Sulphur dioxide (air),2018,7.1,ug/m3
France,SO2,Sulphur dioxide (air),2019,8.7,ug/m3
France,SO2,Sulphur dioxide (air),2017,10.4,ug/m3
France,SO2,Sulphur dioxide (air),2016,11.75,ug/m3
France,SO2,Sulphur dioxide (air),2015,13.25,ug/m3
France,SO2,Sulphur dioxide (air),2014,14.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,29.3,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2019,4.008,ug/m3
France,SO2,Sulphur dioxide (air),2018,4.704,ug/m3
France,SO2,Sulphur dioxide (air),2015,7.528,ug/m3
France,SO2,Sulphur dioxide (air),2017,7.767,ug/m3
France,SO2,Sulphur dioxide (air),2016,9.174,ug/m3
France,SO2,Sulphur dioxide (air),2014,10.042,ug/m3
France,SO2,Sulphur dioxide (air),2013,24.758,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2018,1.114,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.138,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.235,ug/m3
France,SO2,Sulphur dioxide (air),2019,1.266,ug/m3
France,SO2,Sulphur dioxide (air),2017,1.599,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.587,ug/m3
France,SO2,Sulphur dioxide (air),2013,6.51,ug/m3
France,SO2,Sulphur dioxide (air),2019,0.417,ug/m3
France,SO2,Sulphur dioxide (air),2018,0.545,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.128,ug/m3
France,SO2,Sulphur dioxide (air),2017,1.938,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.152,ug/m3
France,SO2,Sulphur dioxide (air),2014,4.472,ug/m3
France,SO2,Sulphur dioxide (air),2013,6.838,ug/m3
France,SO2,Sulphur dioxide (air),2013,13.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,8.6,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,2.297,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.519,ug/m3
France,SO2,Sulphur dioxide (air),2013,11.608,ug/m3
France,SO2,Sulphur dioxide (air),2013,20.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,14.071,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,5.523,ug/m3
France,SO2,Sulphur dioxide (air),2014,6.648,ug/m3
France,SO2,Sulphur dioxide (air),2016,3.891,ug/m3
France,SO2,Sulphur dioxide (air),2017,4.054,ug/m3
France,SO2,Sulphur dioxide (air),2018,4.946,ug/m3
France,SO2,Sulphur dioxide (air),2015,5.609,ug/m3
France,SO2,Sulphur dioxide (air),2014,5.779,ug/m3
France,SO2,Sulphur dioxide (air),2013,12.891,ug/m3
France,SO2,Sulphur dioxide (air),2018,5.8,ug/m3
France,SO2,Sulphur dioxide (air),2016,6.0,ug/m3
France,SO2,Sulphur dioxide (air),2017,6.0,ug/m3
France,SO2,Sulphur dioxide (air),2015,7.5,ug/m3
France,SO2,Sulphur dioxide (air),2014,8.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,29.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2016,5.095,ug/m3
France,SO2,Sulphur dioxide (air),2018,5.304,ug/m3
France,SO2,Sulphur dioxide (air),2017,5.875,ug/m3
France,SO2,Sulphur dioxide (air),2014,6.608,ug/m3
France,SO2,Sulphur dioxide (air),2015,6.946,ug/m3
France,SO2,Sulphur dioxide (air),2013,16.809,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.763,ug/m3
France,SO2,Sulphur dioxide (air),2016,0.83,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.155,ug/m3
France,SO2,Sulphur dioxide (air),2018,2.474,ug/m3
France,SO2,Sulphur dioxide (air),2014,2.823,ug/m3
France,SO2,Sulphur dioxide (air),2013,3.731,ug/m3
France,SO2,Sulphur dioxide (air),2017,0.791,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.121,ug/m3
France,SO2,Sulphur dioxide (air),2018,1.541,ug/m3
France,SO2,Sulphur dioxide (air),2015,2.652,ug/m3
France,SO2,Sulphur dioxide (air),2019,3.002,ug/m3
France,SO2,Sulphur dioxide (air),2014,3.008,ug/m3
France,SO2,Sulphur dioxide (air),2017,2.413,ug/m3
France,SO2,Sulphur dioxide (air),2016,2.923,ug/m3
France,SO2,Sulphur dioxide (air),2018,3.029,ug/m3
France,SO2,Sulphur dioxide (air),2013,3.452,ug/m3
France,SO2,Sulphur dioxide (air),2015,3.531,ug/m3
France,SO2,Sulphur dioxide (air),2014,3.583,ug/m3
France,SO2,Sulphur dioxide (air),2019,5.525,ug/m3
France,SO2,Sulphur dioxide (air),2017,3.2,ug/m3
France,SO2,Sulphur dioxide (air),2016,3.5,ug/m3
France,SO2,Sulphur dioxide (air),2018,4.2,ug/m3
France,SO2,Sulphur dioxide (air),2015,4.75,ug/m3
France,SO2,Sulphur dioxide (air),2014,5.5,ug/m3
France,SO2,Sulphur dioxide (air),2019,6.6,ug/m3
France,SO2,Sulphur dioxide (air),2013,6.8,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2017,2.457,ug/m3
France,SO2,Sulphur dioxide (air),2016,3.143,ug/m3
France,SO2,Sulphur dioxide (air),2015,3.677,ug/m3
France,SO2,Sulphur dioxide (air),2013,4.139,ug/m3
France,SO2,Sulphur dioxide (air),2018,4.275,ug/m3
France,SO2,Sulphur dioxide (air),2014,4.725,ug/m3
France,SO2,Sulphur dioxide (air),2019,5.739,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2013,0.361,ug/m3
France,SO2,Sulphur dioxide (air),2017,0.43,ug/m3
France,SO2,Sulphur dioxide (air),2018,0.53,ug/m3
France,SO2,Sulphur dioxide (air),2014,0.706,ug/m3
France,SO2,Sulphur dioxide (air),2016,0.719,ug/m3
France,SO2,Sulphur dioxide (air),2019,0.97,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.16,ug/m3
France,SO2,Sulphur dioxide (air),2019,0.277,ug/m3
France,SO2,Sulphur dioxide (air),2018,0.334,ug/m3
France,SO2,Sulphur dioxide (air),2017,0.68,ug/m3
France,SO2,Sulphur dioxide (air),2014,0.771,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.098,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.531,ug/m3
France,SO2,Sulphur dioxide (air),2013,7.496,ug/m3
France,SO2,Sulphur dioxide (air),2013,16.5,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,11.983,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2013,0.519,ug/m3
France,SO2,Sulphur dioxide (air),2014,0.544,ug/m3
France,SO2,Sulphur dioxide (air),2019,5.791,ug/m3
France,SO2,Sulphur dioxide (air),2018,5.904,ug/m3
France,SO2,Sulphur dioxide (air),2017,6.833,ug/m3
France,SO2,Sulphur dioxide (air),2015,6.927,ug/m3
France,SO2,Sulphur dioxide (air),2016,7.853,ug/m3
France,SO2,Sulphur dioxide (air),2014,11.735,ug/m3
France,SO2,Sulphur dioxide (air),2013,12.1,ug/m3
France,SO2,Sulphur dioxide (air),2019,7.2,ug/m3
France,SO2,Sulphur dioxide (air),2018,8.1,ug/m3
France,SO2,Sulphur dioxide (air),2017,12.7,ug/m3
France,SO2,Sulphur dioxide (air),2016,16.33,ug/m3
France,SO2,Sulphur dioxide (air),2015,24.75,ug/m3
France,SO2,Sulphur dioxide (air),2014,41.0,ug/m3
France,SO2,Sulphur dioxide (air),2013,55.5,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2018,6.642,ug/m3
France,SO2,Sulphur dioxide (air),2019,6.908,ug/m3
France,SO2,Sulphur dioxide (air),2016,9.824,ug/m3
France,SO2,Sulphur dioxide (air),2015,10.018,ug/m3
France,SO2,Sulphur dioxide (air),2017,10.85,ug/m3
France,SO2,Sulphur dioxide (air),2013,24.817,ug/m3
France,SO2,Sulphur dioxide (air),2014,27.13,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.834,ug/m3
France,SO2,Sulphur dioxide (air),2013,1.158,ug/m3
France,SO2,Sulphur dioxide (air),2015,1.575,ug/m3
France,SO2,Sulphur dioxide (air),2018,1.898,ug/m3
France,SO2,Sulphur dioxide (air),2019,2.329,ug/m3
France,SO2,Sulphur dioxide (air),2016,2.389,ug/m3
France,SO2,Sulphur dioxide (air),2017,2.821,ug/m3
France,SO2,Sulphur dioxide (air),2015,0.406,ug/m3
France,SO2,Sulphur dioxide (air),2019,1.193,ug/m3
France,SO2,Sulphur dioxide (air),2014,1.198,ug/m3
France,SO2,Sulphur dioxide (air),2016,1.957,ug/m3
France,SO2,Sulphur dioxide (air),2020,2.353,ug/m3
France,SO2,Sulphur dioxide (air),2017,2.444,ug/m3
France,SO2,Sulphur dioxide (air),2018,3.02,ug/m3
France,SO2,Sulphur dioxide (air),2019,4.625,ug/m3
France,SO2,Sulphur dioxide (air),2015,4.764,ug/m3
France,SO2,Sulphur dioxide (air),2016,5.924,ug/m3
France,SO2,Sulphur dioxide (air),2018,6.409,ug/m3
France,SO2,Sulphur dioxide (air),2017,6.564,ug/m3
France,SO2,Sulphur dioxide (air),2013,7.467,ug/m3
France,SO2,Sulphur dioxide (air),2020,7.479,ug/m3
France,SO2,Sulphur dioxide (air),2014,9.75,ug/m3
France,SO2,Sulphur dioxide (air),2015,12.75,ug/m3
France,SO2,Sulphur dioxide (air),2018,15.3,ug/m3
France,SO2,Sulphur dioxide (air),2019,16.9,ug/m3
France,SO2,Sulphur dioxide (air),2016,17.7,ug/m3
France,SO2,Sulphur dioxide (air),2020,20.1,ug/m3
France,SO2,Sulphur dioxide (air),2017,20.5,ug/m3
France,SO2,Sulphur dioxide (air),2013,27.5,ug/m3
France,SO2,Sulphur dioxide (air),2014,30.3,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
France,SO2,Sulphur dioxide (air),2015,0.0,count
France,SO2,Sulphur dioxide (air),2016,0.0,count
France,SO2,Sulphur dioxide (air),2017,0.0,count
France,SO2,Sulphur dioxide (air),2018,0.0,count
France,SO2,Sulphur dioxide (air),2019,0.0,count
France,SO2,Sulphur dioxide (air),2020,0.0,count
France,SO2,Sulphur dioxide (air),2015,5.786,ug/m3
France,SO2,Sulphur dioxide (air),2019,6.792,ug/m3
France,SO2,Sulphur dioxide (air),2017,8.017,ug/m3
France,SO2,Sulphur dioxide (air),2020,8.017,ug/m3
France,SO2,Sulphur dioxide (air),2018,8.271,ug/m3
France,SO2,Sulphur dioxide (air),2013,12.292,ug/m3
France,SO2,Sulphur dioxide (air),2016,12.621,ug/m3
France,SO2,Sulphur dioxide (air),2014,12.733,ug/m3
France,SO2,Sulphur dioxide (air),2013,0.0,count
France,SO2,Sulphur dioxide (air),2014,0.0,count
