Country,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level
Austria,SO2,Sulphur dioxide (air),2019,30.561,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,36.015,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,70.195,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,1.0,count
Austria,SO2,Sulphur dioxide (air),2016,1.0,count
Austria,SO2,Sulphur dioxide (air),2020,2.076,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,2.509,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,2.981,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,3.279,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,3.826,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,4.157,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,4.398,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,4.399,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.223,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,3.143,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,3.246,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,4.321,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,4.671,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,4.867,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,5.104,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.963,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,3.222,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,3.978,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,4.474,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,4.479,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,4.885,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,5.962,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,6.868,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,3.83,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,7.42,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,8.91,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,8.915,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,10.245,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,10.43,ug/m3
